input,output
1.265033720395903742e+02,8.811711781944069344e-01
1.273811323186478432e+02,8.803980604907815088e-01
1.282649830528060022e+02,8.796202637973886684e-01
1.291549665014883885e+02,8.788377645788094661e-01
1.300511252173409957e+02,8.780505392483674010e-01
1.309535020482667562e+02,8.772585641690899827e-01
1.318621401394748602e+02,8.764618156546898353e-01
1.327770829355428930e+02,8.756602699705684500e-01
1.336983741824946605e+02,8.748539033348382565e-01
1.346260579298910898e+02,8.740426919193683419e-01
1.355601785329369022e+02,8.732266118508490438e-01
1.365007806546013853e+02,8.724056392118797465e-01
1.374479092677536585e+02,8.715797500420775501e-01
1.384016096573131449e+02,8.707489203392089205e-01
1.393619274224143396e+02,8.699131260603429894e-01
1.403289084785873229e+02,8.690723431230275020e-01
1.413025990599533657e+02,8.682265474064874144e-01
1.422830457214352009e+02,8.673757147528472489e-01
1.432702953409830968e+02,8.665198209683762087e-01
1.442643951218158804e+02,8.656588418247573857e-01
1.452653925946781328e+02,8.647927530603802815e-01
1.462733356201129880e+02,8.639215303816575320e-01
1.472882723907501656e+02,8.630451494643668342e-01
1.483102514336104321e+02,8.621635859550162984e-01
1.493393216124253229e+02,8.612768154722358904e-01
1.503755321299738341e+02,8.603848136081937437e-01
1.514189325304351996e+02,8.594875559300368950e-01
1.524695727017573006e+02,8.585850179813596661e-01
1.535275028780422701e+02,8.576771752836963580e-01
1.545927736419478435e+02,8.567640033380413689e-01
1.556654359271062162e+02,8.558454776263954011e-01
1.567455410205595001e+02,8.549215736133383148e-01
1.578331405652116359e+02,8.539922667476294027e-01
1.589282865622977852e+02,8.530575324638351997e-01
1.600310313738701780e+02,8.521173461839848251e-01
1.611414277253019804e+02,8.511716833192529696e-01
1.622595287078087267e+02,8.502205192716713045e-01
1.633853877809860364e+02,8.492638294358687556e-01
1.645190587753662328e+02,8.483015892008398673e-01
1.656605958949915305e+02,8.473337739517430300e-01
1.668100537200059250e+02,8.463603590717280190e-01
1.679674872092653288e+02,8.453813199437913983e-01
1.691329517029647036e+02,8.443966319526647890e-01
1.703065029252844340e+02,8.434062704867308913e-01
1.714881969870540956e+02,8.424102109399713711e-01
1.726780903884356064e+02,8.414084287139451668e-01
1.738762400216250512e+02,8.404008992197968819e-01
1.750827031735723267e+02,8.393875978802983751e-01
1.762975375287205679e+02,8.383685001319199914e-01
1.775208011717635941e+02,8.373435814269356570e-01
1.787525525904235337e+02,8.363128172355587253e-01
1.799928506782476347e+02,8.352761830481101324e-01
1.812417547374235767e+02,8.342336543772207458e-01
1.824993244816152469e+02,8.331852067600654665e-01
1.837656200388172465e+02,8.321308157606311928e-01
1.850407019542302010e+02,8.310704569720185342e-01
1.863246311931559944e+02,8.300041060187762776e-01
1.876174691439119613e+02,8.289317385592719356e-01
1.889192776207666213e+02,8.278533302880947131e-01
1.902301188668945713e+02,8.267688569384952224e-01
1.915500555573527777e+02,8.256782942848582829e-01
1.928791508020777599e+02,8.245816181452120253e-01
1.942174681489024408e+02,8.234788043837727445e-01
1.955650715865949110e+02,8.223698289135245032e-01
1.969220255479173431e+02,8.212546676988364824e-01
1.982883949127071332e+02,8.201332967581155264e-01
